Season,Latitude,Longitude
Winter,-70.73929961089496,-169.46983546617915
Winter,-25.214007782101163,-64.82632541133455
Winter,-24.863813229571974,-71.40767824497259
Winter,-23.813229571984436,145.11882998171848
Winter,-22.762645914396884,22.7056672760512
Winter,-20.31128404669262,17.44058500914076
Winter,-17.859922178988327,128.0073126142596
Winter,-16.4591439688716,132.6142595978062
Winter,-15.058365758754874,126.03290676416822
Winter,1.0505836575875378,11.517367458866516
Winter,1.0505836575875378,-69.43327239488116
Winter,0.7003891050583633,28.628884826325418
Winter,3.151750972762642,25.338208409506393
Winter,4.552529182879383,43.10786106032907
Winter,4.202334630350194,29.945155393053
Winter,5.252918287937746,72.72394881170018
Winter,5.252918287937746,7.568555758683743
Winter,5.252918287937746,-0.9872029250456933
Winter,8.054474708171213,109.57952468007312
Winter,8.054474708171213,83.91224862888487
Winter,8.404669260700388,78.64716636197443
Winter,12.256809338521393,-114.18647166361974
Winter,14.007782101167322,64.82632541133455
Winter,13.657587548638134,-95.75868372943327
Winter,14.708171206225686,-7.568555758683743
Winter,16.4591439688716,37.84277879341866
Winter,16.809338521400775,-89.17733089579525
Winter,16.4591439688716,108.26325411334551
Winter,15.758754863813238,44.42413162705668
Winter,17.159533073929964,-122.08409506398537
Winter,17.50972762645914,122.74223034734916
Winter,17.50972762645914,13.49177330895796
Winter,18.210116731517502,-104.97257769652651
Winter,19.260700389105054,-74.04021937842778
Winter,19.610894941634243,26.654478976234003
Winter,20.311284046692606,10.85923217550274
Winter,21.361867704280158,-120.10968921389397
Winter,21.712062256809347,116.81901279707495
Winter,22.06225680933852,-1.6453382084094983
Winter,23.112840466926073,7.568555758683743
Winter,24.163424124513625,-104.31444241316271
Winter,25.56420233463035,42.449725776965295
Winter,25.56420233463035,126.03290676416822
Winter,25.56420233463035,14.80804387568557
Winter,26.964980544747085,3.6197440585009133
Winter,28.365758754863812,112.21206581352834
Winter,29.766536964980546,83.91224862888487
Winter,30.116731517509727,34.552102376599606
Winter,36.42023346303502,31.26142595978061
Winter,41.32295719844358,112.21206581352834
Fall,-76.34241245136187,-169.46983546617915
Fall,-23.112840466926073,134.5886654478976
Fall,-23.112840466926073,-60.21937842778793
Fall,-22.41245136186771,146.4351005484461
Fall,-17.50972762645914,26.654478976234003
Fall,-15.758754863813238,40.47531992687385
Fall,-15.058365758754874,28.628884826325418
Fall,-11.906614785992218,19.414990859232205
Fall,-9.805447470817128,14.149908592321736
Fall,-7.003891050583647,-43.765996343692876
Fall,0.35019455252918874,24.680073126142588
Fall,2.4513618677042786,15.466179159049346
Fall,3.151750972762642,40.47531992687385
Fall,3.852140077821005,12.17550274223035
Fall,4.552529182879383,0.9872029250457217
Fall,5.252918287937746,92.46800731261425
Fall,7.003891050583647,-0.9872029250456933
Fall,7.35408560311285,-9.54296160877513
Fall,7.704280155642024,-16.782449725776956
Fall,8.754863813229576,75.3564899451554
Fall,8.754863813229576,54.95429616087753
Fall,9.45525291828794,116.81901279707495
Fall,9.105058365758751,25.996343692870198
Fall,9.45525291828794,35.868372943327216
Fall,9.45525291828794,66.14259597806216
Fall,11.55642023346303,25.996343692870198
Fall,13.657587548638134,-91.15173674588665
Fall,13.307392996108959,57.586837294332696
Fall,14.357976653696497,-80.62157221206581
Fall,14.708171206225686,-111.55393053016454
Fall,14.357976653696497,115.50274223034734
Fall,14.708171206225686,32.57769652650822
Fall,15.758754863813238,129.981718464351
Fall,15.408560311284049,-4.277879341864718
Fall,15.05836575875486,-83.91224862888483
Fall,16.108949416342412,47.71480804387568
Fall,16.4591439688716,40.47531992687385
Fall,16.809338521400775,-119.45155393053017
Fall,18.210116731517502,51.66361974405851
Fall,18.210116731517502,-77.9890310786106
Fall,19.961089494163417,-10.201096892138935
Fall,19.610894941634243,-81.27970749542962
Fall,19.610894941634243,-87.86106032906764
Fall,19.610894941634243,-5.594149908592328
Fall,20.66147859922178,-114.84460694698355
Fall,21.361867704280158,17.44058500914076
Fall,22.41245136186771,131.2979890310786
Fall,23.112840466926073,0.3290676416818883
Fall,22.41245136186771,-93.78427787934187
Fall,23.813229571984436,-69.43327239488116
Fall,24.5136186770428,130.63985374771482
Fall,24.163424124513625,16.782449725776956
Fall,25.914396887159526,22.047531992687368
Fall,26.964980544747085,0.3290676416818883
Fall,28.365758754863812,-120.76782449725778
Fall,29.066147859922175,79.96343692870204
Fall,29.416342412451357,-79.3053016453382
Fall,30.46692607003891,49.68921389396709
Fall,35.019455252918284,120.10968921389394
Fall,36.070038910505836,-99.04936014625228
Fall,36.070038910505836,-120.76782449725778
Fall,38.52140077821012,75.3564899451554
Fall,41.32295719844358,135.9049360146252
Fall,47.62645914396887,166.83729433272396
Summer,-81.9455252918288,-169.46983546617915
Summer,-25.564202334630366,-58.903107861060334
Summer,-22.41245136186771,-66.80073126142597
Summer,-22.41245136186771,-72.7239488117002
Summer,-20.31128404669262,130.63985374771482
Summer,-18.56031128404669,-58.903107861060334
Summer,-16.809338521400775,108.92138939670934
Summer,-14.007782101167308,140.5118829981718
Summer,-10.856031128404666,127.34917733089583
Summer,-9.45525291828794,-66.14259597806216
Summer,-9.105058365758765,-57.586837294332724
Summer,-6.303501945525284,-81.27970749542962
Summer,-5.953307392996109,-56.270566727605114
Summer,-4.552529182879383,-49.68921389396709
Summer,2.4513618677042786,18.75685557586837
Summer,4.902723735408557,32.57769652650822
Summer,5.252918287937746,22.047531992687368
Summer,5.953307392996109,-12.17550274223035
Summer,9.45525291828794,41.79159049360146
Summer,10.505836575875492,12.17550274223035
